				91.79%									
Date	Tier	Finish Wave	Max Wave	Percentage	Earned Coins	Ad Coins	Total Coins (B)	Time (minutes)	Minutes/Billion	Event Kills	Progress	Kills/Game	Games Left
													
2025-05-24	7	5613	4839	116.00%	6.9	3.45	10.35	391.72	37.8	5670			
2025-05-25	6	4835	1584	305.24%	6.69	3.35	10.04	438.80	43.7	5670			
2025-05-25	11	1313	1584	82.89%	1.12	0.55832	1.67832	114.68	68.3	6030			
2025-05-25	11	1464	1584	92.42%	1.29	0.6428	1.9328	129.28	66.9	6030			
2025-05-25	11	1236	1584	78.03%	1.07	0.53706	1.60706	107.92	67.2				
2025-05-25	11	1319	1584	83.27%	1.35	0.67636	2.02636	115.57	57.0	6430			
2025-05-26	7	3859	5613	68.75%	3.39	1.7	5.09	287.95	56.6				
2025-05-27	11	1338	1584	84.47%	1.05	0.52716	1.57716	117.65	74.6				
2025-05-27	9	3436	3637	94.47%	3.91	1.96	5.87	308.75	52.6				
2025-05-27	-8	828			0.62758	0.31375	0.94133	73.45	78.0				
2025-05-28	9	3616	3637	99.42%	4.93	2.46	7.39	325.88	44.1				
2025-05-28	9	3258	3637	89.58%	3.17	1.58	4.75	293.52	61.8				
2025-05-28	9	3592	3637	98.76%	5.49	2.74	8.23	324.55	39.4				
2025-05-29	7	4340	5613	77.32%	4.6	2.3	6.9	394.10	57.1				
2025-05-29	9	3628	3637	99.75%	4.71	2.36	7.07	326.02	46.1				
2025-05-29	9	3118	3637	85.73%	3.11	1.55	4.66	279.32	59.9				
2025-05-29	9	3360	3637	92.38%	4.01	2	6.01	301.43	50.2				
2025-05-29	11	1278	1584	80.68%	1.12	0.55932	1.67932	111.57	66.4				
2025-05-30	9	3087	3637	84.88%	2.87	1.43	4.3	277.53	64.5				
2025-05-30	9	3240	3637	89.08%	3.2	1.6	4.8	290.75	60.6				
2025-05-30	9	3519	3637	96.76%	3.85	1.93	5.78	317.40	54.9				
2025-05-30	-9	302			0.1359	0.06794	0.20384	20.92	102.6				
2025-05-31	11	1288	1584	81.31%	0.9267	0.46328	1.38998	111.90	80.5				
2025-06-01	10	2389	3148	75.89%	2.5	1.25	3.75	213.03	56.8				
2025-06-01	10	2305	3148	73.22%	2.54	1.27	3.81	205.38	53.9				
2025-06-01	10	2410	3148	76.56%	3.74	1.87	5.61	216.05	38.5				
2025-06-02	10	2718	3148	86.34%	3.73	1.86	5.59	243.10	43.5				
2025-06-02	10	3181	3148	101.05%	2.32	1.16	3.48	285.57	82.1				
2025-06-02	10	2632	3181	82.74%	3.07	1.54	4.61	236.63	51.3				
2025-06-03	12	436	453	96.25%	0.32746	0.16371	0.49117	34.35	69.9				
2025-06-03	11	1464	1584	92.42%	1.45	0.72464	2.17464	188.63	86.7				
2025-06-03	10	2597	3181	81.64%	2.64	1.32	3.96	232.73	58.8				
2025-06-03	10	2644	3181	83.12%	3.18	1.59	4.77	237.15	49.7				
2025-06-04	10	2820	3181	88.65%	3.2	1.6	4.8	253.33	52.8				
2025-06-04	10	2739	3181	86.10%	3.13	1.56	4.69	246.12	52.5				
2025-06-04	9	3508	3637	96.45%	4.8	2.4	7.2	316.30	43.9				
2025-06-05	10	3105	3181	97.61%	4.87	2.43	7.3	278.73	38.2				
2025-06-05	9	3183	3637	87.52%	3.85	1.92	5.77	304.65	52.8				
2025-06-06	6	5863	6135	95.57%	6.75	3.37	10.12	534.23	52.8				
2025-06-06	10	2785	3181	87.55%	3.95	1.97	5.92	250.53	42.3				
2025-06-06	10	2934	3181	92.24%	4.13	2.07	6.2	262.80	42.4				
2025-06-06	10	2694	3181	84.69%	4.12	2.06	6.18	240.70	38.9				
2025-06-06	-8	808			0.74709	0.37349	1.12058	70.38	62.8				
2025-06-07	6	4780	6135	77.91%	5.17	2.59	7.76	431.60	55.6				
2025-06-07	10	2583	3181	81.20%	6.46	3.23	9.69	231.05	23.8				
2025-06-07	10	2756	3181	86.64%	3.99	1.99	5.98	247.68	41.4				
2025-06-07	10	2860	3181	89.91%	4.34	2.17	6.51	257.63	39.6				
2025-06-08	3	7310	6700	109.10%	6.28	3.14	9.42	666.00	70.7				
2025-06-08	9	3487	3637	95.88%	3.33	1.67	5	314.02	62.8				
2025-06-08	11	1443	1584	91.10%	1.43	0.71679	2.14679	127.20	59.3				
2025-06-09	7	4568	5613	81.38%	5.53	2.77	8.3	413.43	49.8				
2025-06-09	10	3022	3181	95.00%	4.08	2.04	6.12	271.90	44.4				
2025-06-09	10	2599	3181	81.70%	2.83	1.41	4.24	231.75	54.7				
2025-06-09	10	2382	3181	74.88%	3.22	1.61	4.83	212.50	44.0				
2025-06-10	10	2418	3181	76.01%	3.02	1.51	4.53	215.47	47.6				
2025-06-10	10	2521	3181	79.25%	3.45	1.72	5.17	225.27	43.6				
2025-06-10	10	2818	3181	88.59%	3.78	1.89	5.67	253.40	44.7				
2025-06-11	6	6135	6135	100.00%	6.28	3.14	9.42	558.37	59.3				
2025-06-11	-11	366			0.19552	0.09775	0.29327	27.53	93.9				
2025-06-11	10	2647	3181	83.21%	3.51	1.75	5.26	236.82	45.0				
2025-06-11	10	2812	3181	88.40%	4.16	2.08	6.24	252.33	40.4				
2025-06-12	10	3096	3181	97.33%	4.44	2.22	6.66	278.65	41.8				
2025-06-12	10	2877	3181	90.44%	3.65	1.82	5.47	257.58	47.1				
2025-06-12	10	2744	3181	86.26%	2.84	1.42	4.26	244.60	57.4				
2025-06-12	10	3343	3181	105.09%	4.99	2.5	7.49	299.90	40.0				
2025-06-13	9	3580	3637	98.43%	6.43	3.21	9.64	324.07	33.6				
2025-06-13	9	3780	3637	103.93%	5.24	2.62	7.86	344.98	43.9				
2025-06-13	11	1536	1584	96.97%	1.51	0.75581	2.26581	135.25	59.7				
2025-06-14	8	4517	4984	90.63%	6.26	3.13	9.39	408.97	43.6				
2025-06-14	9	3179	3780	84.10%	3.6	1.8	5.4	709.38	131.4				
2025-06-14	10	3118	3343	93.27%	3.89	1.95	5.84	280.25	48.0				
2025-06-15	8	3922	4984	78.69%	4.18	2.09	6.27	355.15	56.6				
2025-06-15	11	1736	1584	109.60%	2.17	1.08	3.25	153.43	47.2				
2025-06-15	12	522	453	115.23%	0.35268	0.17631	0.52899	42.17	79.7				
2025-06-15	9	3194	3780	84.50%	4.44	2.22	6.66	288.78	43.4				
2025-06-15	13	172	162	106.17%	0.05424	0.02712	0.08136	9.98	122.7				
2025-06-15	14	77	55	140.00%	0.01728	0.00864	0.02592	3.57	137.6				
2025-06-15	11	1519	1584	95.90%	1.47	0.73334	2.20334	133.53	60.6				
2025-06-16	9	3138	3780	83.02%	3.62	1.81	5.43	281.68	51.9				
2025-06-16	9	3685	3780	97.49%	5.29	2.65	7.94	332.53	41.9				
2025-06-16	9	3229	3780	85.42%	3.49	1.74	5.23	290.55	55.6				
